Contact Name,ID,ID Type,TS Override
M62 Corridor,23562,Group,2
Wales Chat,23570,Group,2
SALOP Cluster,23575,Group,2
West Midland,23580,Group,2
East Midlands,23590,Group,2
WiresX CQ-DENMAR,23812,Group,2
BornHack,23824,Group,2
OZ0FT Link,23888,Group,2
Young Ladies SM,24020,Group,2
SM XIL,24080,Group,2
Robust Packet,24098,Group,2
Chatrom 1,24201,Group,2
Chatrom 2,24202,Group,2
Chatrom 3,24203,Group,2
Chatrom 4,24204,Group,2
AX OH0 QSY,24400,Group,2
AX OH0 SAR/FRT,24409,Group,2
FI OH1 QSY,24410,Group,2
FI OH2 QSY,24420,Group,2
FI OH2 PKS,24421,Group,2
FI OH2 L-U,24422,Group,2
FI OH2 I-U,24423,Group,2
FI OH3 QSY,24430,Group,2
FI OH3 Pir,24431,Group,2
FI OH3 P-H,24432,Group,2
FI OH3 K-H,24433,Group,2
FI OH4 QSY,24440,Group,2
FI OH5 QSY,24450,Group,2
FI OH5 EKa,24451,Group,2
FI OH5 Kymi,24452,Group,2
FI OH6 QSY,24460,Group,2
FI OH6 K-S,24461,Group,2
FI OH6 Pjm,24462,Group,2
FI OH6 Obo,24463,Group,2
FI OH7 QSY,24470,Group,2
FI OH7 PSa,24471,Group,2
FI OH7 PKa,24472,Group,2
FI OH8 QSY,24480,Group,2
FI OH9 QSY,24490,Group,2
Lithuania MultiM,24601,Group,2
Latvian MultiMod,24706,Group,2
ES4 Narva Region,24804,Group,2
Estonia-RUS / ha,24810,Group,2
Russian Tech,25011,Group,2
Kyiv city,25501,Group,2
Vinnyts`ka obl,25502,Group,2
Volyns`ka obl,25503,Group,2
Dnirpo obl,25504,Group,2
Donets`ka obl,25505,Group,2
Zhytomyrs`ka obl,25506,Group,2
Zakarpats`ka obl,25507,Group,2
Zaporiz`ka obl,25508,Group,2
Ivano frankivs`k,25509,Group,2
Kyivs`ka obl,25510,Group,2
OdesaRadioLink,25511,Group,2
Kropyvnyts`kyj o,25512,Group,2
Lugans`ka obl,25513,Group,2
Lvivs`ka obl,25514,Group,2
Mykolaivs`ka obl,25515,Group,2
Odes`ka obl,25516,Group,2
Poltavs`ka obl,25517,Group,2
Rivnens`ka obl,25518,Group,2
Sums`ka obl,25519,Group,2
Ternopils`ka obl,25520,Group,2
Kharkivs`ka obl,25521,Group,2
Khersons`ka obl,25522,Group,2
Khmel`nyts`ka ob,25523,Group,2
Cherkas`ka obl,25524,Group,2
Chernigivs`ka ob,25525,Group,2
Chernivets`ka ob,25526,Group,2
Sevastopol,25527,Group,2
UA Azimuth,25577,Group,2
Emergency Zakarp,25599,Group,2
Belarus / Minsk,25701,Group,2
MD Tech Group,25999,Group,2
Szczecin GRYF,26011,Group,2
PAAROS Club,26018,Group,2
Trojmiasto,26021,Group,2
Trojmiasto C4FM,26022,Group,2
SPEC Pomorskie,26026,Group,2
Poland Tech,26040,Group,2
Warmia Mazury,26041,Group,2
Lomza,26042,Group,2
Podlasie,26043,Group,2
Podlasie EmComm,26045,Group,2
Mazovia,26053,Group,2
SP5KAB Club,26055,Group,2
SP73VOT Club,26056,Group,2
MASR,26057,Group,2
SP1PMY Club,26058,Group,2
Kurpie,26059,Group,2
Lodz,26071,Group,2
Busko Zdroj,26073,Group,2
Kielce C4FM,26075,Group,2
Skarzysko Kamien,26076,Group,2
Kutno,26078,Group,2
Sandomierz,26079,Group,2
BASR,26091,Group,2
KPGK,26093,Group,2
Krakow,26094,Group,2
Nowy Sacz,26095,Group,2
Bytom,26097,Group,2
TAC 1,26200,Group,2
DL Maritime,26201,Group,2
DL Aeronautical,26202,Group,2
Sachsen-Anhalt,26207,Group,2
Brandenburg,26209,Group,2
OV F11 Bad Hombu,26211,Group,2
Berlin-City,26212,Group,2
Mecklenburg - Vo,26217,Group,2
Grossraum Hambur,26220,Group,2
Hamburg-City,26221,Group,2
Ostholstein-Nord,26222,Group,2
Chaoswelle,26223,Group,2
Elbe-Weser,26224,Group,2
AFU-Nord,26225,Group,2
DMR Netzverbund,26226,Group,2
DMR Netzverbund,26227,Group,2
Ostholstein-Sued,26228,Group,2
Suedholstein,26229,Group,2
Mittellandkanal,26230,Group,2
NI Mitte,26231,Group,2
Dreiladereck Mi,26232,Group,2
TAC 3,26233,Group,2
NI-Sued,26234,Group,2
NI Suedheide,26235,Group,2
NI-Nord,26236,Group,2
Nordsee,26237,Group,2
G38 - Wegberg,26238,Group,2
NI Ost,26239,Group,2
Rheinland,26241,Group,2
Muensterland,26242,Group,2
Ruhrgebiet,26243,Group,2
Separee D/ME,26244,Group,2
Rheinland-Sued,26245,Group,2
Niederrhein,26246,Group,2
DG Velbert,26247,Group,2
IGFS IG Funk Sie,26249,Group,2
Saarland,26250,Group,2
Westpfalz,26253,Group,2
Kaiserslautern,26255,Group,2
Eifel-Hunsrueck,26256,Group,2
Siegerland,26257,Group,2
Trier-Saarburg,26259,Group,2
Mittelhessen,26260,Group,2
Nordhessen,26261,Group,2
Rhein-Main-Necka,26262,Group,2
Bergstrasse,26263,Group,2
Odenwald,26264,Group,2
Taunus,26265,Group,2
TAC 4,26266,Group,2
Wires-X DL-HE/RL,26269,Group,2
Stuttgart,26270,Group,2
Baden,26271,Group,2
Neckar-Odenwald,26272,Group,2
BW-Ostalb,26273,Group,2
BW-Bolingen,26274,Group,2
Schwarzwald-Nord,26275,Group,2
Neckar-Alb,26276,Group,2
Schwarzwald,26277,Group,2
BW Herrenberg,26278,Group,2
BW-Mittlerer-Nec,26279,Group,2
Niederbayern,26280,Group,2
Schwaben,26282,Group,2
